training_size,accuracy,elapsed_time
51800,0.972,41.79069709777832
51900,0.972,41.86104345321655
52000,0.972,42.472872257232666
52100,0.972,42.504477739334106
52200,0.973,42.02883768081665
52300,0.973,42.149184703826904
52400,0.973,42.67544603347778
52500,0.973,42.53146433830261
52600,0.973,42.5885910987854
52700,0.973,42.652143478393555
52800,0.973,42.94245791435242
52900,0.973,42.762954235076904
53000,0.972,42.82587718963623
53100,0.971,42.9378023147583
53200,0.971,42.961692571640015
53300,0.971,43.03837561607361
53400,0.971,43.04454851150513
53500,0.971,43.11553406715393
53600,0.973,43.186548709869385
53700,0.973,43.44298481941223
53800,0.973,43.515830278396606
53900,0.972,43.58644700050354
54000,0.972,43.61091089248657
54100,0.972,43.64940786361694
54200,0.972,43.266671895980835
54300,0.972,43.29670071601868
54400,0.972,43.33917284011841
54500,0.972,43.889342308044434
54600,0.972,44.01398730278015
54700,0.972,43.89701533317566
54800,0.972,44.123034954071045
54900,0.972,44.13398861885071
55000,0.972,44.248406171798706
55100,0.971,44.265544414520264
55200,0.971,44.38233256340027
55300,0.971,44.39838266372681
55400,0.971,44.41526436805725
55500,0.971,44.48095440864563
55600,0.971,44.56493306159973
55700,0.971,44.6680645942688
55800,0.971,44.70811581611633
55900,0.971,44.73713541030884
56000,0.971,44.83169460296631
56100,0.971,44.854509592056274
56200,0.971,44.988160848617554
56300,0.971,45.027878284454346
56400,0.97,44.7558057308197
56500,0.97,45.06140899658203
56600,0.97,44.90784692764282
56700,0.97,44.65803837776184
56800,0.97,44.762757301330566
56900,0.97,44.75068473815918
57000,0.97,44.80378699302673
57100,0.97,45.285178899765015
57200,0.97,45.251548528671265
57300,0.97,45.57672166824341
57400,0.97,45.579840898513794
57500,0.97,45.670055866241455
57600,0.97,45.7528772354126
57700,0.97,45.752219438552856
57800,0.97,45.81891131401062
57900,0.97,45.88611841201782
58000,0.97,45.98313117027283
58100,0.97,45.70098924636841
58200,0.97,45.57758951187134
58300,0.97,45.59075045585632
58400,0.97,46.28535723686218
58500,0.97,46.28855490684509
58600,0.97,46.01024317741394
58700,0.97,46.203436851501465
58800,0.97,46.221972703933716
58900,0.97,46.30044198036194
59000,0.97,46.34920597076416
59100,0.97,46.412211656570435
59200,0.97,46.70503497123718
59300,0.97,46.65869665145874
59400,0.97,46.53749108314514
59500,0.97,46.69699501991272
59600,0.97,46.70760107040405
59700,0.97,46.776031255722046
59800,0.97,46.82546019554138
59900,0.97,46.89459300041199
60000,0.97,46.984060287475586
